Year,Pupils per secondary school,Pupils per secondary teacher
1998,799.0,13.00
1999,810.7,12.90
2000,816.7,12.95
2001,817.5,12.89
2002,821.0,12.66
2003,824.9,12.80
2004,824.0,12.69
2005,820.4,12.27
2006,821.5,11.95
2007,818.9,11.65
2008,808.5,11.66
2009,809.9,11.94
2010,809.2,12.15
2011,809.6,12.26
2012,804.3,12.24
2013,794.4,12.20
2014,786.6,12.17
2015,781.0,12.23
2016,782.7,12.24
2017,783.3,12.18
-META-,,
YAXISTITLE,Pupils per school,
YAXISTITLE2,Pupils per teacher,
USEYAXIS2,2,
YMIN,780,
YMAX,830,
YMIN2,11,
YMAX2,13.5,
SYMBOLS,TRUE,
LEGENDX,1998,
LEGENDY,787,
