Year,Pupils per primary school,Pupils per primary teacher
1998,190.7,19.43
1999,188.1,19.05
2000,186.7,18.96
2001,185.2,18.87
2002,183.2,18.00
2003,180.6,18.16
2004,179.6,17.56
2005,177.9,16.97
2006,175.3,16.20
2007,173.4,15.78
2008,172.2,15.70
2009,172.5,15.80
2010,174.0,15.82
2011,176.1,16.06
2012,179.6,16.34
2013,183.6,16.48
2014,188.1,16.78
2015,191.8,16.70
2016,195.3,16.58
2017,198.3,16.35
2018,198.9,16.08
2019,199.0,15.93
-META-,,
YAXISTITLE,Pupils per school,
YAXISTITLE2,Pupils per teacher,
USEYAXIS2,2,
YMIN,150,
YMAX,200,
YMIN2,15,
YMAX2,20,
SYMBOLS,TRUE,
LEGENDX,1998,
LEGENDY,157,
