0,Con,Lab,Lib,SNP,Other
1918,30,6,33,0,2
1922,13,29,27,0,2
1923,14,34,22,0,1
1924,36,26,8,0,1
1929,20,36,13,0,2
1931,57,7,7,0,
1935,43,20,3,0,5
1945,27,37,0,0,7
1950,31,37,2,0,1
1951,35,35,1,0,
1955,36,34,1,0,
1959,31,38,1,0,1
1964,24,43,4,0,
1966,20,46,5,0,
1970,23,44,3,1,
1974 Feb,21,40,3,7,
1974 Oct,16,41,3,11,
1979,22,44,3,2,
1983,21,41,8,2,
1987,10,50,9,3,
1992,11,49,9,3,
1997,0,56,10,6,
2001,1,55,10,5,1
2005,1,40,11,6,1
2010,1,41,11,6,
2015,1,1,1,56,
2017,13,7,4,35,
2019,6,1,4,48,
-META-,,,,,
YAXISTITLE,Number of MPs,,,,
BARS,TRUE,,,,
STACKED,TRUE,,,,
FILLPATTERNED,TRUE,,,,
